postUrl,description,commentCount,likeCount,pubDate,Post_Number,BreakDown,Tagged
https://www.instagram.com/p/CbXlb2GP6sT/,"Classics, brights, neutrals and earth tones. Just take your pic. 📸 Images courtesy of @ysl #SaintLaurent",22,710.0,2022-03-21T14:02:45.000Z,0,"['Classics,', 'brights,', 'neutrals', 'and', 'earth', 'tones.', 'Just', 'take', 'your', 'pic.', '📸', 'Images', 'courtesy', 'of', '@ysl', '#SaintLaurent']",['ysl']
https://www.instagram.com/p/CbSZC5qP5C4/,Time for your weekend palette cleanser courtesy of #Dior. And don’t they all look like sweets? 📸 Images courtesy of @dior #DiorTribales,55,3.0,2022-03-19T13:38:17.000Z,1,"['Time', 'for', 'your', 'weekend', 'palette', 'cleanser', 'courtesy', 'of', '#Dior.', 'And', 'don’t', 'they', 'all', 'look', 'like', 'sweets?', '📸', 'Images', 'courtesy', 'of', '@dior', '#DiorTribales']",['dior']
https://www.instagram.com/p/CbNLGfHPcIa/,"C for classic, C for chic, C for #PanthèredeCartier. @cartier 📸 @stu__c for @bagaholicboy📍@bymyoldschool #CartierSG",40,3.0,2022-03-17T13:00:15.000Z,2,"['C', 'for', 'classic,', 'C', 'for', 'chic,', 'C', 'for', '#PanthèredeCartier.', '@cartier', '📸', '@stu__c', 'for', '@bagaholicboy📍@bymyoldschool', '#CartierSG']","['cartier', 'stuc', 'bagaholicboybymyoldschool']"
https://www.instagram.com/p/CbMQyeZP4t-/,"All that shimmers is not gold. And in the case of this new season evening bag, it’s even better. 📸 Image courtesy of @chanelofficial #CHANELSpringSummer",32,3.0,2022-03-17T04:30:42.000Z,3,"['All', 'that', 'shimmers', 'is', 'not', 'gold.', 'And', 'in', 'the', 'case', 'of', 'this', 'new', 'season', 'evening', 'bag,', 'it’s', 'even', 'better.', '📸', 'Image', 'courtesy', 'of', '@chanelofficial', '#CHANELSpringSummer']",['chanelofficial']
https://www.instagram.com/p/CbKXr1SvJgl/,Details are everything when it comes to @louisvuitton’s #LVSS22 bag line-up that’s now available at local #LouisVuitton boutiques. The mini Dauphine gets a see-through Monogram Lace finish while the iconic Petite Malle gets ‘stretched’ into a ‘east-west’ style. Which do you love more?,54,3.0,2022-03-16T10:52:29.000Z,4,"['Details', 'are', 'everything', 'when', 'it', 'comes', 'to', '@louisvuitton’s', '#LVSS22', 'bag', 'line-up', 'that’s', 'now', 'available', 'at', 'local', '#LouisVuitton', 'boutiques.', 'The', 'mini', 'Dauphine', 'gets', 'a', 'see-through', 'Monogram', 'Lace', 'finish', 'while', 'the', 'iconic', 'Petite', 'Malle', 'gets', '‘stretched’', 'into', 'a', '‘east-west’', 'style.', 'Which', 'do', 'you', 'love', 'more?']",['louisvuittons']
https://www.instagram.com/p/CbFf3G7Fj13/,"Take your pick with @balenciaga’s Neo Cagole bags and Cagole sandals. What’s your, err, pick? 📽 @bifrost_____ for @bagaholicboy #Balenciaga",77,1223.0,2022-03-14T13:31:11.000Z,5,"['Take', 'your', 'pick', 'with', '@balenciaga’s', 'Neo', 'Cagole', 'bags', 'and', 'Cagole', 'sandals.', 'What’s', 'your,', 'err,', 'pick?', '📽', '@bifrost_____', 'for', '@bagaholicboy', '#Balenciaga']","['balenciagas', 'bifrost', 'bagaholicboy']"
https://www.instagram.com/p/CbAbrjxv88k/,The kind of teens that won’t get into trouble. You’ll only be troubled deciding which Teen #CelineTriomphe bag is for you. 📸 Images courtesy of @celine #Celine,64,3.0,2022-03-12T14:14:59.000Z,6,"['The', 'kind', 'of', 'teens', 'that', 'won’t', 'get', 'into', 'trouble.', 'You’ll', 'only', 'be', 'troubled', 'deciding', 'which', 'Teen', '#CelineTriomphe', 'bag', 'is', 'for', 'you.', '📸', 'Images', 'courtesy', 'of', '@celine', '#Celine']",['celine']
https://www.instagram.com/p/Ca9tEJvFDCM/,"one life to live, many roles to play. 🍍 #GucciPineapple",118,7142.0,2022-03-11T12:49:10.000Z,7,"['one', 'life', 'to', 'live,', 'many', 'roles', 'to', 'play.', '🍍', '#GucciPineapple']",[]
https://www.instagram.com/p/Ca3sJvTluPL/,When three is definitely not a crowd. Meet the new #PanthèredeCartier bags from @cartier 📸 @ivanhoharlim for @bagaholicboy #CartierSG,48,3.0,2022-03-09T04:45:45.000Z,8,"['When', 'three', 'is', 'definitely', 'not', 'a', 'crowd.', 'Meet', 'the', 'new', '#PanthèredeCartier', 'bags', 'from', '@cartier', '📸', '@ivanhoharlim', 'for', '@bagaholicboy', '#CartierSG']","['cartier', 'ivanhoharlim', 'bagaholicboy']"
https://www.instagram.com/p/CawCnB2F1sw/,Mini bags are truly here to stay. Another tiny wonder to fall for this Mini #BoyChanel that measures just 15 cm across by 10 cm in height. But functions exactly like her larger siblings. Cute? 📸 Images courtesy of @chanelofficial #CHANELSpringSummer,68,3.0,2022-03-06T05:28:04.000Z,9,"['Mini', 'bags', 'are', 'truly', 'here', 'to', 'stay.', 'Another', 'tiny', 'wonder', 'to', 'fall', 'for', 'this', 'Mini', '#BoyChanel', 'that', 'measures', 'just', '15', 'cm', 'across', 'by', '10', 'cm', 'in', 'height.', 'But', 'functions', 'exactly', 'like', 'her', 'larger', 'siblings.', 'Cute?', '📸', 'Images', 'courtesy', 'of', '@chanelofficial', '#CHANELSpringSummer']",['chanelofficial']
