Name,Brand,Price,Picture,Category,Availability
  QUILTED LAMBSKIN 2 WAY TOTE , Chanel,4950.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19997_5_.jpg,Handbags,Available
  MONO TURENNE PM , Louis Vuitton,1500.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19996_4_.jpg,Handbags,Available
  MINI BE SHEARLING BAGUETTE , Fendi,1500.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19995_5_.jpg,Handbags,Available
  CRAFT TOTE , Gucci,1395.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19994_5_.jpg,Handbags,Available
  INDY HOBO LARGE , Gucci,1395.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19993_4_.jpg,Handbags,Available
  GIALLO BOX CLUTCH , Fendi,1500.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19992_4_.jpg,Handbags,Available
  LOLA SMALL , Burberry,2350.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19991_4__1.jpg,Handbags,Available
  SOHO DISCO , Gucci,1395.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19990_4_.jpg,Handbags,Available
  GUCCI OFF THE GRID TOTE , Gucci,1995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19988_4_.jpg,Handbags,Available
  VINTAGE CAVIAR SMALL VANITY CASE , Chanel,3500.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19987_5_.jpg,Handbags,Available
  DAMIER HAMPSTEAD PM , Louis Vuitton,1250.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19986_4_.jpg,Handbags,Available
  30 MONTAIGNE 2 IN 1 POUCH , Dior,2500.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19989_7_.jpg,Handbags,Available
  PANDORA LARGE BACKAPACK , Givenchy,1650.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19985_4_.jpg,Handbags,Available
  CRUISE 2022 MINI FLAP GHW , Chanel,7250.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19984_4_.jpg,Handbags,Available
  CONTE DE FEES MUSETTE , Louis Vuitton,1350.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19973_4_.jpg,Handbags,Available
  MINI LIN BESACE MARY KATE , Louis Vuitton,1150.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19972_4_.jpg,Handbags,Available
  COTTON TWEED SHOPPING BAG , Chanel,3750.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19971_6_.jpg,Handbags,Available
  CITY CALF SMALL CAMERA BAG , Prada,1650.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19969_4_.jpg,Handbags,Available
  SOHO MEDIUM ZIP TOTE , Gucci,1950.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19930_4__1.jpg,Handbags,Available
  GABRIELLE SMALL BACKPACK , Chanel,6950.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19929_2__1.jpg,Handbags,Available
  NIKI LARGE SO BLACK , YSL,2650.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19965_4_.jpg,Handbags,Available
  DENIM SMALL TOTE , Prada,1500.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19961_3_.jpg,Handbags,Available
  DIONYSUS BAMBOO MINI TOP HANDLE BAG , Gucci,2995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19960_1__1.jpg,Handbags,Available
  MONO PAPILLON TRUNK , Louis Vuitton,3950.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19959_2_.jpg,Handbags,Available
  NOVA CHECK HEARTS SMALL TOTE , Burberry,395.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19957_4_.jpg,Handbags,Available
  ZUCCA LARGE BACKPACK , Fendi,995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19956_5_.jpg,Handbags,Available
  LADIES WEB GG LARGE HOBO , Gucci,550.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19952_4_.jpg,Handbags,Available
  GG PLUS LARGE TOTE , Gucci,350.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19951_4_.jpg,Handbags,Available
  GG MINI FLAT TOP HANDLE TOTE , Gucci,250.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19950_4_.jpg,Handbags,Available
  DAMIER GRAPHITE DISTRICT PM , Louis Vuitton,1195.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19949_4_.jpg,Handbags,Available
  QUILTED DISTRESS LEATHER SMALL FLAP , Chanel,5350.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19946_6_.jpg,Handbags,Available
  MONO PASSY NM , Louis Vuitton,3250.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19945_1_.jpg,Handbags,Available
  PUZZLE MEDIUM , Loewe,2500.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19943_4_.jpg,Handbags,Available
  O CASE SO BLACK SMALL , Chanel,1395.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19939_1_.jpg,Handbags,Available
  MONO MONTAIGNE GM , Louis Vuitton,1995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19938_4_.jpg,Handbags,Available
  MONO SOUFFLOT MM , Louis Vuitton,2995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19936_4_.jpg,Handbags,Available
  BIRKIN 35 PHW POROSUS CROC , Hermes,53500.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19932_4_.jpg,Handbags,Available
  TESSUTO GAUFRE SMALL ZIP TOTE , Prada,1350.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19927_4_.jpg,Handbags,Available
